,abilities_number,ability_1,ability_2,ability_hidden,attack,base_experience,base_friendship,catch_rate,defense,egg_cycles,egg_type_1,egg_type_2,egg_type_number,generation,growth_rate,height_m,hp,is_legendary,is_mythical,is_sub_legendary,name,percentage_male,pokedex_number,sp_attack,sp_defense,species,speed,total_points,type_1,type_2,type_number,weight_kg
26,3,Run Away,Guts,Hustle,81.0,145.0,70.0,127.0,60.0,15.0,Field,,1,1,Medium Fast,0.7,55.0,0,0,0,Raticate,50.0,20,50.0,70.0,Mouse Pokémon,97.0,413.0,Normal,,1,18.5
27,3,Gluttony,Hustle,Thick Fat,71.0,145.0,70.0,127.0,70.0,15.0,Field,,1,1,Medium Fast,0.7,75.0,0,0,0,Alolan Raticate,50.0,20,40.0,80.0,Mouse Pokémon,77.0,413.0,Dark,Normal,2,25.5
28,2,Keen Eye,,Sniper,60.0,52.0,70.0,255.0,30.0,15.0,Flying,,1,1,Medium Fast,0.3,40.0,0,0,0,Spearow,50.0,21,31.0,31.0,Tiny Bird Pokémon,70.0,262.0,Normal,Flying,2,2.0
29,2,Keen Eye,,Sniper,90.0,155.0,70.0,90.0,65.0,15.0,Flying,,1,1,Medium Fast,1.2,65.0,0,0,0,Fearow,50.0,22,61.0,61.0,Beak Pokémon,100.0,442.0,Normal,Flying,2,38.0
30,3,Intimidate,Shed Skin,Unnerve,60.0,58.0,70.0,255.0,44.0,20.0,Dragon,Field,2,1,Medium Fast,2.0,35.0,0,0,0,Ekans,50.0,23,40.0,54.0,Snake Pokémon,55.0,288.0,Poison,,1,6.9
31,3,Intimidate,Shed Skin,Unnerve,95.0,157.0,70.0,90.0,69.0,20.0,Dragon,Field,2,1,Medium Fast,3.5,60.0,0,0,0,Arbok,50.0,24,65.0,79.0,Cobra Pokémon,80.0,448.0,Poison,,1,65.0
32,2,Static,,Lightning Rod,55.0,112.0,70.0,190.0,40.0,10.0,Fairy,Field,2,1,Medium Fast,0.4,35.0,0,0,0,Pikachu,50.0,25,50.0,50.0,Mouse Pokémon,90.0,320.0,Electric,,1,6.0
33,1,,,Lightning Rod,80.0,112.0,70.0,190.0,50.0,10.0,,,0,1,Medium Fast,0.4,45.0,0,0,0,Partner Pikachu,50.0,25,75.0,60.0,Mouse Pokémon,120.0,430.0,Electric,,1,6.0
34,2,Static,,Lightning Rod,90.0,218.0,70.0,75.0,55.0,10.0,Fairy,Field,2,1,Medium Fast,0.8,60.0,0,0,0,Raichu,50.0,26,90.0,80.0,Mouse Pokémon,110.0,485.0,Electric,,1,30.0
35,1,Surge Surfer,,,85.0,218.0,70.0,75.0,50.0,10.0,Fairy,Field,2,1,Medium Fast,0.7,60.0,0,0,0,Alolan Raichu,50.0,26,95.0,85.0,Mouse Pokémon,110.0,485.0,Electric,Psychic,2,21.0
36,2,Sand Veil,,Sand Rush,75.0,60.0,70.0,255.0,85.0,20.0,Field,,1,1,Medium Fast,0.6,50.0,0,0,0,Sandshrew,50.0,27,20.0,30.0,Mouse Pokémon,40.0,300.0,Ground,,1,12.0
37,2,Snow Cloak,,Slush Rush,75.0,60.0,70.0,255.0,90.0,20.0,Field,,1,1,Medium Fast,0.7,50.0,0,0,0,Alolan Sandshrew,50.0,27,10.0,35.0,Mouse Pokémon,40.0,300.0,Ice,Steel,2,40.0
38,2,Sand Veil,,Sand Rush,100.0,158.0,70.0,90.0,110.0,20.0,Field,,1,1,Medium Fast,1.0,75.0,0,0,0,Sandslash,50.0,28,45.0,55.0,Mouse Pokémon,65.0,450.0,Ground,,1,29.5
39,2,Snow Cloak,,Slush Rush,100.0,158.0,70.0,90.0,120.0,20.0,Field,,1,1,Medium Fast,1.2,75.0,0,0,0,Alolan Sandslash,50.0,28,25.0,65.0,Mouse Pokémon,65.0,450.0,Ice,Steel,2,55.0
40,3,Poison Point,Rivalry,Hustle,47.0,55.0,70.0,235.0,52.0,20.0,Field,Monster,2,1,Medium Slow,0.4,55.0,0,0,0,Nidoran♀,0.0,29,40.0,40.0,Poison Pin Pokémon,41.0,275.0,Poison,,1,7.0
41,3,Poison Point,Rivalry,Hustle,62.0,128.0,70.0,120.0,67.0,20.0,Undiscovered,,1,1,Medium Slow,0.8,70.0,0,0,0,Nidorina,0.0,30,55.0,55.0,Poison Pin Pokémon,56.0,365.0,Poison,,1,20.0
42,3,Poison Point,Rivalry,Sheer Force,92.0,227.0,70.0,45.0,87.0,20.0,Undiscovered,,1,1,Medium Slow,1.3,90.0,0,0,0,Nidoqueen,0.0,31,75.0,85.0,Drill Pokémon,76.0,505.0,Poison,Ground,2,60.0
43,3,Poison Point,Rivalry,Hustle,57.0,55.0,70.0,235.0,40.0,20.0,Field,Monster,2,1,Medium Slow,0.5,46.0,0,0,0,Nidoran♂,100.0,32,40.0,40.0,Poison Pin Pokémon,50.0,273.0,Poison,,1,9.0
44,3,Poison Point,Rivalry,Hustle,72.0,128.0,70.0,120.0,57.0,20.0,Field,Monster,2,1,Medium Slow,0.9,61.0,0,0,0,Nidorino,100.0,33,55.0,55.0,Poison Pin Pokémon,65.0,365.0,Poison,,1,19.5
45,3,Poison Point,Rivalry,Sheer Force,102.0,227.0,70.0,45.0,77.0,20.0,Field,Monster,2,1,Medium Slow,1.4,81.0,0,0,0,Nidoking,100.0,34,85.0,75.0,Drill Pokémon,85.0,505.0,Poison,Ground,2,62.0
46,3,Cute Charm,Magic Guard,Friend Guard,45.0,113.0,140.0,150.0,48.0,10.0,Fairy,,1,1,Fast,0.6,70.0,0,0,0,Clefairy,25.0,35,60.0,65.0,Fairy Pokémon,35.0,323.0,Fairy,,1,7.5
47,3,Cute Charm,Magic Guard,Unaware,70.0,217.0,140.0,25.0,73.0,10.0,Fairy,,1,1,Fast,1.3,95.0,0,0,0,Clefable,25.0,36,95.0,90.0,Fairy Pokémon,60.0,483.0,Fairy,,1,40.0
48,2,Flash Fire,,Drought,41.0,60.0,70.0,190.0,40.0,20.0,Field,,1,1,Medium Fast,0.6,38.0,0,0,0,Vulpix,25.0,37,50.0,65.0,Fox Pokémon,65.0,299.0,Fire,,1,9.9
49,2,Snow Cloak,,Snow Warning,41.0,60.0,70.0,190.0,40.0,20.0,Field,,1,1,Medium Fast,0.6,38.0,0,0,0,Alolan Vulpix,25.0,37,50.0,65.0,Fox Pokémon,65.0,299.0,Ice,,1,9.9
50,2,Flash Fire,,Drought,76.0,177.0,70.0,75.0,75.0,20.0,Field,,1,1,Medium Fast,1.1,73.0,0,0,0,Ninetales,25.0,38,81.0,100.0,Fox Pokémon,100.0,505.0,Fire,,1,19.9
51,2,Snow Cloak,,Snow Warning,67.0,177.0,70.0,75.0,75.0,20.0,Field,,1,1,Medium Fast,1.1,73.0,0,0,0,Alolan Ninetales,25.0,38,81.0,100.0,Fox Pokémon,109.0,505.0,Ice,Fairy,2,19.9
52,3,Cute Charm,Competitive,Friend Guard,45.0,95.0,70.0,170.0,20.0,10.0,Fairy,,1,1,Fast,0.5,115.0,0,0,0,Jigglypuff,25.0,39,45.0,25.0,Balloon Pokémon,20.0,270.0,Normal,Fairy,2,5.5
53,3,Cute Charm,Competitive,Frisk,70.0,196.0,70.0,50.0,45.0,10.0,Fairy,,1,1,Fast,1.0,140.0,0,0,0,Wigglytuff,25.0,40,85.0,50.0,Balloon Pokémon,45.0,435.0,Normal,Fairy,2,12.0
54,2,Inner Focus,,Infiltrator,45.0,49.0,70.0,255.0,35.0,15.0,Flying,,1,1,Medium Fast,0.8,40.0,0,0,0,Zubat,50.0,41,30.0,40.0,Bat Pokémon,55.0,245.0,Poison,Flying,2,7.5
55,2,Inner Focus,,Infiltrator,80.0,159.0,70.0,90.0,70.0,15.0,Flying,,1,1,Medium Fast,1.6,75.0,0,0,0,Golbat,50.0,42,65.0,75.0,Bat Pokémon,90.0,455.0,Poison,Flying,2,55.0
56,2,Chlorophyll,,Run Away,50.0,64.0,70.0,255.0,55.0,20.0,Grass,,1,1,Medium Slow,0.5,45.0,0,0,0,Oddish,50.0,43,75.0,65.0,Weed Pokémon,30.0,320.0,Grass,Poison,2,5.4
57,2,Chlorophyll,,Stench,65.0,138.0,70.0,120.0,70.0,20.0,Grass,,1,1,Medium Slow,0.8,60.0,0,0,0,Gloom,50.0,44,85.0,75.0,Weed Pokémon,40.0,395.0,Grass,Poison,2,8.6
58,2,Chlorophyll,,Effect Spore,80.0,221.0,70.0,45.0,85.0,20.0,Grass,,1,1,Medium Slow,1.2,75.0,0,0,0,Vileplume,50.0,45,110.0,90.0,Flower Pokémon,50.0,490.0,Grass,Poison,2,18.6
59,3,Effect Spore,Dry Skin,Damp,70.0,57.0,70.0,190.0,55.0,20.0,Bug,Grass,2,1,Medium Fast,0.3,35.0,0,0,0,Paras,50.0,46,45.0,55.0,Mushroom Pokémon,25.0,285.0,Bug,Grass,2,5.4
60,3,Effect Spore,Dry Skin,Damp,95.0,142.0,70.0,75.0,80.0,20.0,Bug,Grass,2,1,Medium Fast,1.0,60.0,0,0,0,Parasect,50.0,47,60.0,80.0,Mushroom Pokémon,30.0,405.0,Bug,Grass,2,29.5
61,3,Compound Eyes,Tinted Lens,Run Away,55.0,61.0,70.0,190.0,50.0,20.0,Bug,,1,1,Medium Fast,1.0,60.0,0,0,0,Venonat,50.0,48,40.0,55.0,Insect Pokémon,45.0,305.0,Bug,Poison,2,30.0
62,3,Shield Dust,Tinted Lens,Wonder Skin,65.0,158.0,70.0,75.0,60.0,20.0,Bug,,1,1,Medium Fast,1.5,70.0,0,0,0,Venomoth,50.0,49,90.0,75.0,Poison Moth Pokémon,90.0,450.0,Bug,Poison,2,12.5
63,3,Sand Veil,Arena Trap,Sand Force,55.0,53.0,70.0,255.0,25.0,20.0,Field,,1,1,Medium Fast,0.2,10.0,0,0,0,Diglett,50.0,50,35.0,45.0,Mole Pokémon,95.0,265.0,Ground,,1,0.8
64,3,Sand Veil,Tangling Hair,Sand Force,55.0,53.0,70.0,255.0,30.0,20.0,Field,,1,1,Medium Fast,0.2,10.0,0,0,0,Alolan Diglett,50.0,50,35.0,45.0,Mole Pokémon,90.0,265.0,Ground,Steel,2,1.0
65,3,Sand Veil,Arena Trap,Sand Force,100.0,149.0,70.0,50.0,50.0,20.0,Field,,1,1,Medium Fast,0.7,35.0,0,0,0,Dugtrio,50.0,51,50.0,70.0,Mole Pokémon,120.0,425.0,Ground,,1,33.3
66,3,Sand Veil,Tangling Hair,Sand Force,100.0,149.0,70.0,50.0,60.0,20.0,Field,,1,1,Medium Fast,0.7,35.0,0,0,0,Alolan Dugtrio,50.0,51,50.0,70.0,Mole Pokémon,110.0,425.0,Ground,Steel,2,66.6
67,3,Pickup,Technician,Unnerve,45.0,58.0,70.0,255.0,35.0,20.0,Field,,1,1,Medium Fast,0.4,40.0,0,0,0,Meowth,50.0,52,40.0,40.0,Scratch Cat Pokémon,90.0,290.0,Normal,,1,4.2
68,3,Pickup,Technician,Rattled,35.0,58.0,70.0,255.0,35.0,20.0,Field,,1,1,Medium Fast,0.4,40.0,0,0,0,Alolan Meowth,50.0,52,50.0,40.0,Scratch Cat Pokémon,90.0,290.0,Dark,,1,4.2
69,3,Pickup,Tough Claws,Unnerve,65.0,,,,55.0,20.0,Field,,1,1,Medium Fast,0.4,50.0,0,0,0,Galarian Meowth,,52,40.0,40.0,Scratch Cat Pokémon,40.0,290.0,Steel,,1,7.5
70,3,Limber,Technician,Unnerve,70.0,154.0,70.0,90.0,60.0,20.0,Field,,1,1,Medium Fast,1.0,65.0,0,0,0,Persian,50.0,53,65.0,65.0,Classy Cat Pokémon,115.0,440.0,Normal,,1,32.0
71,3,Fur Coat,Technician,Rattled,60.0,154.0,70.0,90.0,60.0,20.0,Field,,1,1,Medium Fast,1.1,65.0,0,0,0,Alolan Persian,50.0,53,75.0,65.0,Classy Cat Pokémon,115.0,440.0,Dark,,1,33.0
72,3,Damp,Cloud Nine,Swift Swim,52.0,64.0,70.0,190.0,48.0,20.0,Field,Water 1,2,1,Medium Fast,0.8,50.0,0,0,0,Psyduck,50.0,54,65.0,50.0,Duck Pokémon,55.0,320.0,Water,,1,19.6
73,3,Damp,Cloud Nine,Swift Swim,82.0,175.0,70.0,75.0,78.0,20.0,Field,Water 1,2,1,Medium Fast,1.7,80.0,0,0,0,Golduck,50.0,55,95.0,80.0,Duck Pokémon,85.0,500.0,Water,,1,76.6
74,3,Vital Spirit,Anger Point,Defiant,80.0,61.0,70.0,190.0,35.0,20.0,Field,,1,1,Medium Fast,0.5,40.0,0,0,0,Mankey,50.0,56,35.0,45.0,Pig Monkey Pokémon,70.0,305.0,Fighting,,1,28.0
75,3,Vital Spirit,Anger Point,Defiant,105.0,159.0,70.0,75.0,60.0,20.0,Field,,1,1,Medium Fast,1.0,65.0,0,0,0,Primeape,50.0,57,60.0,70.0,Pig Monkey Pokémon,95.0,455.0,Fighting,,1,32.0
76,3,Intimidate,Flash Fire,Justified,70.0,70.0,70.0,190.0,45.0,20.0,Field,,1,1,Slow,0.7,55.0,0,0,0,Growlithe,75.0,58,70.0,50.0,Puppy Pokémon,60.0,350.0,Fire,,1,19.0
77,3,Intimidate,Flash Fire,Justified,110.0,194.0,70.0,75.0,80.0,20.0,Field,,1,1,Slow,1.9,90.0,0,0,0,Arcanine,75.0,59,100.0,80.0,Legendary Pokémon,95.0,555.0,Fire,,1,155.0
78,3,Water Absorb,Damp,Swift Swim,50.0,60.0,70.0,255.0,40.0,20.0,Water 1,,1,1,Medium Slow,0.6,40.0,0,0,0,Poliwag,50.0,60,40.0,40.0,Tadpole Pokémon,90.0,300.0,Water,,1,12.4
79,3,Water Absorb,Damp,Swift Swim,65.0,135.0,70.0,120.0,65.0,20.0,Water 1,,1,1,Medium Slow,1.0,65.0,0,0,0,Poliwhirl,50.0,61,50.0,50.0,Tadpole Pokémon,90.0,385.0,Water,,1,20.0
80,3,Water Absorb,Damp,Swift Swim,95.0,230.0,70.0,45.0,95.0,20.0,Water 1,,1,1,Medium Slow,1.3,90.0,0,0,0,Poliwrath,50.0,62,70.0,90.0,Tadpole Pokémon,70.0,510.0,Water,Fighting,2,54.0
81,3,Synchronize,Inner Focus,Magic Guard,20.0,62.0,70.0,200.0,15.0,20.0,Human-Like,,1,1,Medium Slow,0.9,25.0,0,0,0,Abra,75.0,63,105.0,55.0,Psi Pokémon,90.0,310.0,Psychic,,1,19.5
82,3,Synchronize,Inner Focus,Magic Guard,35.0,140.0,70.0,100.0,30.0,20.0,Human-Like,,1,1,Medium Slow,1.3,40.0,0,0,0,Kadabra,75.0,64,120.0,70.0,Psi Pokémon,105.0,400.0,Psychic,,1,56.5
83,3,Synchronize,Inner Focus,Magic Guard,50.0,225.0,70.0,50.0,45.0,20.0,Human-Like,,1,1,Medium Slow,1.5,55.0,0,0,0,Alakazam,75.0,65,135.0,95.0,Psi Pokémon,120.0,500.0,Psychic,,1,48.0
84,1,Trace,,,50.0,270.0,70.0,50.0,65.0,20.0,Human-Like,,1,1,Medium Slow,1.2,55.0,0,0,0,Mega Alakazam,75.0,65,175.0,105.0,Psi Pokémon,150.0,600.0,Psychic,,1,48.0
85,3,Guts,No Guard,Steadfast,80.0,61.0,70.0,180.0,50.0,20.0,Human-Like,,1,1,Medium Slow,0.8,70.0,0,0,0,Machop,75.0,66,35.0,35.0,Superpower Pokémon,35.0,305.0,Fighting,,1,19.5
86,3,Guts,No Guard,Steadfast,100.0,142.0,70.0,90.0,70.0,20.0,Human-Like,,1,1,Medium Slow,1.5,80.0,0,0,0,Machoke,75.0,67,50.0,60.0,Superpower Pokémon,45.0,405.0,Fighting,,1,70.5
87,3,Guts,No Guard,Steadfast,130.0,227.0,70.0,45.0,80.0,20.0,Human-Like,,1,1,Medium Slow,1.6,90.0,0,0,0,Machamp,75.0,68,65.0,85.0,Superpower Pokémon,55.0,505.0,Fighting,,1,130.0
88,2,Chlorophyll,,Gluttony,75.0,60.0,70.0,255.0,35.0,20.0,Grass,,1,1,Medium Slow,0.7,50.0,0,0,0,Bellsprout,50.0,69,70.0,30.0,Flower Pokémon,40.0,300.0,Grass,Poison,2,4.0
89,2,Chlorophyll,,Gluttony,90.0,137.0,70.0,120.0,50.0,20.0,Grass,,1,1,Medium Slow,1.0,65.0,0,0,0,Weepinbell,50.0,70,85.0,45.0,Flycatcher Pokémon,55.0,390.0,Grass,Poison,2,6.4
90,2,Chlorophyll,,Gluttony,105.0,221.0,70.0,45.0,65.0,20.0,Grass,,1,1,Medium Slow,1.7,80.0,0,0,0,Victreebel,50.0,71,100.0,70.0,Flycatcher Pokémon,70.0,490.0,Grass,Poison,2,15.5
91,3,Clear Body,Liquid Ooze,Rain Dish,40.0,67.0,70.0,190.0,35.0,20.0,Water 3,,1,1,Slow,0.9,40.0,0,0,0,Tentacool,50.0,72,50.0,100.0,Jellyfish Pokémon,70.0,335.0,Water,Poison,2,45.5
92,3,Clear Body,Liquid Ooze,Rain Dish,70.0,180.0,70.0,60.0,65.0,20.0,Water 3,,1,1,Slow,1.6,80.0,0,0,0,Tentacruel,50.0,73,80.0,120.0,Jellyfish Pokémon,100.0,515.0,Water,Poison,2,55.0
93,3,Rock Head,Sturdy,Sand Veil,80.0,60.0,70.0,255.0,100.0,15.0,Mineral,,1,1,Medium Slow,0.4,40.0,0,0,0,Geodude,50.0,74,30.0,30.0,Rock Pokémon,20.0,300.0,Rock,Ground,2,20.0
94,3,Magnet Pull,Sturdy,Galvanize,80.0,60.0,70.0,255.0,100.0,15.0,Mineral,,1,1,Medium Slow,0.4,40.0,0,0,0,Alolan Geodude,50.0,74,30.0,30.0,Rock Pokémon,20.0,300.0,Rock,Electric,2,20.3
95,3,Rock Head,Sturdy,Sand Veil,95.0,137.0,70.0,120.0,115.0,15.0,Mineral,,1,1,Medium Slow,1.0,55.0,0,0,0,Graveler,50.0,75,45.0,45.0,Rock Pokémon,35.0,390.0,Rock,Ground,2,105.0
96,3,Magnet Pull,Sturdy,Galvanize,95.0,137.0,70.0,120.0,115.0,15.0,Mineral,,1,1,Medium Slow,1.0,55.0,0,0,0,Alolan Graveler,50.0,75,45.0,45.0,Rock Pokémon,35.0,390.0,Rock,Electric,2,110.0
97,3,Rock Head,Sturdy,Sand Veil,120.0,223.0,70.0,45.0,130.0,15.0,Mineral,,1,1,Medium Slow,1.4,80.0,0,0,0,Golem,50.0,76,55.0,65.0,Megaton Pokémon,45.0,495.0,Rock,Ground,2,300.0
98,3,Magnet Pull,Sturdy,Galvanize,120.0,223.0,70.0,45.0,130.0,15.0,Mineral,,1,1,Medium Slow,1.7,80.0,0,0,0,Alolan Golem,50.0,76,55.0,65.0,Megaton Pokémon,45.0,495.0,Rock,Electric,2,316.0
99,3,Run Away,Flash Fire,Flame Body,85.0,82.0,70.0,190.0,55.0,20.0,Field,,1,1,Medium Fast,1.0,50.0,0,0,0,Ponyta,50.0,77,65.0,65.0,Fire Horse Pokémon,90.0,410.0,Fire,,1,30.0
100,3,Run Away,Pastel Veil,Anticipation,85.0,,,,55.0,20.0,Field,,1,1,Medium Fast,0.8,50.0,0,0,0,Galarian Ponyta,,77,65.0,65.0,Unique Horn Pokémon,90.0,410.0,Psychic,,1,24.0
101,3,Run Away,Flash Fire,Flame Body,100.0,175.0,70.0,60.0,70.0,20.0,Field,,1,1,Medium Fast,1.7,65.0,0,0,0,Rapidash,50.0,78,80.0,80.0,Fire Horse Pokémon,105.0,500.0,Fire,,1,95.0
102,3,Run Away,Pastel Veil,Anticipation,100.0,,,,70.0,20.0,Field,,1,1,Medium Fast,1.7,65.0,0,0,0,Galarian Rapidash,,78,80.0,80.0,Unique Horn Pokémon,105.0,500.0,Psychic,Fairy,2,80.0
103,3,Oblivious,Own Tempo,Regenerator,65.0,63.0,70.0,190.0,65.0,20.0,Monster,Water 1,2,1,Medium Fast,1.2,90.0,0,0,0,Slowpoke,50.0,79,40.0,40.0,Dopey Pokémon,15.0,315.0,Water,Psychic,2,36.0
104,3,Oblivious,Own Tempo,Regenerator,75.0,172.0,70.0,75.0,110.0,20.0,Monster,Water 1,2,1,Medium Fast,1.6,95.0,0,0,0,Slowbro,50.0,80,100.0,80.0,Hermit Crab Pokémon,30.0,490.0,Water,Psychic,2,78.5
105,1,Shell Armor,,,75.0,207.0,70.0,75.0,180.0,20.0,Monster,Water 1,2,1,Medium Fast,2.0,95.0,0,0,0,Mega Slowbro,50.0,80,130.0,80.0,Hermit Crab Pokémon,30.0,590.0,Water,Psychic,2,120.0
106,3,Magnet Pull,Sturdy,Analytic,35.0,65.0,70.0,190.0,70.0,20.0,Mineral,,1,1,Medium Fast,0.3,25.0,0,0,0,Magnemite,,81,95.0,55.0,Magnet Pokémon,45.0,325.0,Electric,Steel,2,6.0
107,3,Magnet Pull,Sturdy,Analytic,60.0,163.0,70.0,60.0,95.0,20.0,Mineral,,1,1,Medium Fast,1.0,50.0,0,0,0,Magneton,,82,120.0,70.0,Magnet Pokémon,70.0,465.0,Electric,Steel,2,60.0
