url,family,type,fat_content,calcium_content,texture,rind,color,flavor,aroma,vegetarian,vegan,synonyms,alt_spellings,producers
https://www.cheese.com/bruder-basil/,,"semi-soft, artisan",45%,,"creamy, open, smooth",washed,pale yellow,"mild, savory, smokey","rich, smokey",False,False,,,Bergader Private Cheese Dairy
https://www.cheese.com/la-peral/,Blue,"semi-soft, blue-veined",,,"creamy, firm, grainy",,pale yellow,"spicy, sweet","buttery, rich",False,False,La Peral Blue,,
https://www.cheese.com/lemon-myrtle-chevre/,,"fresh firm, artisan",45%,,"creamy, firm, smooth",rindless,white,"acidic, herbaceous","fresh, herbal",True,False,,,Woodside Cheese Wrights
https://www.cheese.com/shtayburne-farm-monterey-jack/,Monterey Jack,"semi-hard, artisan",,,"compact, creamy, soft, supple",natural,pale yellow,"creamy, garlicky, herbaceous, smooth, spicy, sweet, tangy",,,,,,Shtayburne Farm
https://www.cheese.com/cream-havarti/,Havarti,"semi-soft, processed",45%,,smooth,rindless,pale yellow,"buttery, creamy, sweet",sweet,,,"Havarathi, Flødeis Havarti, Smoked Havarti",Flodeis Havarti,
https://www.cheese.com/piora/,,hard,,,,,,,"aromatic, rich",False,False,,,
https://www.cheese.com/blythedale-camembert/,Camembert,"soft, artisan",,,"creamy, dense",natural,ivory,"earthy, mushroomy",mild,True,False,Camembert Vermont,,Blythedale Farm Cheeses
https://www.cheese.com/stella-asiago/,,"semi-hard, artisan",,,"buttery, creamy, crumbly",natural,cream,"nutty, sharp, smooth, sweet","fresh, mild, rich",True,False,,,Stella
https://www.cheese.com/pecorino-ortica/,Pecorino,"semi-soft, artisan",,,"compact, smooth, soft",leaf wrapped,straw,"herbaceous, piquant, savory, sharp","aromatic, strong",,,Pecorino Ortica a latte Crudo,,Romaniae Terrae
https://www.cheese.com/serat/,,hard,,,,,,,,False,False,,,
https://www.cheese.com/bleu-dauvergne/,Blue,"semi-soft, artisan",,,"creamy, smooth",,ivory,"buttery, creamy, pungent",strong,,,Bleu d'Auvergne AOC,,
https://www.cheese.com/baluchon/,,semi-soft,28%,,creamy,washed,ivory,"acidic, creamy, earthy, salty","earthy, mild",False,False,Le Baluchon,,Fromageries Jonathan
https://www.cheese.com/lecir-de-laubrac/,,"soft, artisan",,,smooth,natural,white,sweet,pleasant,False,False,,,
https://www.cheese.com/chapmans-pasture/,Parmesan,semi-hard,,,grainy,washed,ivory,"sharp, sweet","strong, sweet",False,False,,,Parish Hill Creamery
https://www.cheese.com/barbers-1833/,Cheddar,hard,,,creamy,,,"sweet, tangy",,True,False,,,AJ & RE Barber Ltd
https://www.cheese.com/millstone/,,"hard, artisan",,,"crumbly, dry",natural,pale yellow,,mild,True,False,,,Wootton Organic Dairy
https://www.cheese.com/le-duc-vacherin/,,"soft, soft-ripened",,,"smooth, soft",washed,ivory,"buttery, creamy, lemony, mild","rich, woody",,,,,Fromagerie Jean Perrin
https://www.cheese.com/penbryn/,Gouda,hard,45%,,,,,"buttery, fruity, grassy, nutty, sweet",,True,False,,,
https://www.cheese.com/montasio-vecchio/,,"semi-firm, artisan",,,creamy,natural,,sharp,strong,False,False,,Montasio Stagionato,
https://www.cheese.com/lappi/,Swiss Cheese,semi-soft,,,"creamy, firm, open, smooth",rindless,yellow,"mild, sweet",,False,False,,,
https://www.cheese.com/crucolo/,,"semi-hard, artisan",,,buttery,,ivory,"savory, sweet","mild, rich",,,,,Rifugio Crucolo
https://www.cheese.com/pecorino-pera/,Pecorino,"semi-hard, artisan",,,"crumbly, smooth",natural,ivory,"fruity, smooth, subtle, sweet","fruity, milky, sweet",,,,,Romaniae Terrae
https://www.cheese.com/monte-enebro/,,semi-soft,,,smooth,,,"creamy, lemony","goaty, strong",False,False,"pata de mulo, mule’s-hoof cheese",,
https://www.cheese.com/caws-penhelyg-abaty/,,soft,,,gooey,,white,,,,,,,
https://www.cheese.com/cornish-smuggler/,Cheddar,"semi-soft, artisan",,,creamy,mold ripened,ivory,creamy,rich,True,False,,,Whalesborough Farm Foods
https://www.cheese.com/pecorino-erica/,Pecorino,"semi-soft, artisan",,,"compact, smooth",natural,white,"milky, subtle, sweet","aromatic, floral, strong",,,,,Romaniae Terrae
https://www.cheese.com/consider-bardwell-farm-manchester/,,"semi-hard, artisan",,,"firm, open",natural,ivory,"nutty, tangy, woody","lactic, mushroom, woody",True,False,,,Consider Bardwell Farm
https://www.cheese.com/bassigny-au-porto/,,semi-soft,45%,,,washed,yellow,"acidic, buttery",aromatic,False,False,Langres,,
https://www.cheese.com/carr-valley-glacier-wildfire-blue/,Blue,"semi-soft, artisan, blue-veined",,,"creamy, crumbly, soft",rindless,ivory,creamy,clean,,,,,Carr Valley Cheese Company
https://www.cheese.com/pecorino-papavero/,Pecorino,"hard, artisan",,,"crumbly, flaky",natural,straw,"floral, herbaceous, smooth","aromatic, floral, herbal",,,,,Romaniae Terrae
https://www.cheese.com/petit-pardou/,,semi-hard,50%,,,natural,,,aromatic,False,False,,,
https://www.cheese.com/cotherstone/,,"semi-hard, artisan",45%,,"crumbly, open",waxed,pale yellow,"acidic, citrusy, tangy",fresh,,,,,
https://www.cheese.com/mastorazio/,,"hard, artisan",,,"compact, dense",natural,pale yellow,"herbaceous, nutty, sharp, spicy","herbal, milky",False,False,,,Casa Madaio
https://www.cheese.com/stella-goat/,,"semi-hard, artisan",,,crumbly,natural,cream,tangy,"mild, pleasant",True,False,,,Stella
https://www.cheese.com/vegan-brick-lane-bree-cheese/,,soft,,,"buttery, creamy, gooey, soft",mold ripened,cream,"buttery, mild, mushroomy","buttery, mild, mushroom",True,True,,,La Fauxmagerie
https://www.cheese.com/cherni-vit/,,"soft, brined",,,soft,mold ripened,green,"nutty, sharp",,,,,,
https://www.cheese.com/truffello/,,"soft, artisan, soft-ripened",12%,,"creamy, soft",washed,white,"buttery, creamy, earthy","earthy, fruity",,,Truffello,,MouCo Cheese Company
https://www.cheese.com/seators-orkney/,,"hard, artisan",,,crumbly,,cream,acidic,lactic,,,,,Grimbister Farm
https://www.cheese.com/stella-reduced-fat-blue/,Blue,"semi-soft, artisan",,,crumbly,natural,white,full-flavored,pleasant,True,False,,,Stella
https://www.cheese.com/sartori-reserve-espresso-bellavitano/,,"semi-firm, artisan",,,firm,natural,pale yellow,"smokey , sweet","smokey, sweet",,,,,Sartori
https://www.cheese.com/camembert-de-portneuf/,Camembert,"soft, soft-ripened",,,"creamy, soft-ripened, supple",bloomy,pale yellow,"buttery, creamy",aromatic,,,,,Alexis de Portneuf
https://www.cheese.com/amul-emmental/,Swiss Cheese,semi-hard,46%,488 mg/100g,"firm, open",artificial,yellow,sweet,nutty,True,False,,,Gujarat Cooperative Milk Marketing Federation (Amul)
https://www.cheese.com/barrys-bay-cheddar/,Cheddar,"hard, artisan",,,creamy,cloth wrapped,,,,False,False,,,Barry's Bay
https://www.cheese.com/la-tur/,Brie,"soft, artisan, soft-ripened",,,"creamy, fluffy, soft-ripened",mold ripened,straw,"acidic, buttery, creamy, grassy, mushroomy","earthy, lactic, yeasty",False,False,,,Caseificio dell'Alta Langa
https://www.cheese.com/capricorn-somerset-goats-cheese/,,"soft, artisan",,,"creamy, crumbly, firm, smooth",bloomy,white,nutty,,True,False,,,Lactalis McLelland Ltd
https://www.cheese.com/bath-soft-cheese-truffled/,Brie,soft,,,"buttery, soft-ripened",,white,,,,,,,The Bath Soft Cheese Co.
https://www.cheese.com/manchego/,,hard,,,"compact, firm",,pale yellow,"buttery, nutty",,,,Queso Manchego,,
https://www.cheese.com/sharpham-elmhirst/,,"soft, artisan, soft-ripened",,,"creamy, smooth, soft, soft-ripened, spreadable",bloomy,white,"creamy, full-flavored, milky, smooth","fresh, mild, milky, rich",True,False,,,Sharpham Wine & Cheese
https://www.cheese.com/caciobarricato/,Pasta filata,semi-soft,,,"elastic, soft, stringy, supple",natural,ivory,"pronounced, sharp, tangy","clean, mild",False,False,,,La Casearia Carpenedo S.r.l.
https://www.cheese.com/lajta/,,soft,50%,,"creamy, open",washed,yellow,piquant,"aromatic, stinky, strong",False,False,,,
https://www.cheese.com/macconais/,Blue,"soft, artisan, soft-ripened",,,"creamy, firm, smooth",bloomy,cream,"salty, tangy",herbal,False,False,Chevreton de Macon,,
https://www.cheese.com/pitchfork-cheddar/,,hard,,,"compact, creamy, firm",cloth wrapped,pale yellow,"acidic, fruity, grassy, nutty, tangy","buttery, fruity, grassy, nutty, subtle",False,False,,,Trethowan Brothers
https://www.cheese.com/beach-box-brie/,Brie,artisan,,,creamy,ash coated,golden yellow,creamy,rich,True,False,,,BoatShed Cheese
https://www.cheese.com/maribo/,Gouda,"semi-hard, artisan",35-40%,,"creamy, firm, open",waxed,pale yellow,tangy,strong,False,False,,,
https://www.cheese.com/sartori-classic-montamore/,Parmesan,"semi-hard, artisan",,,"dense, firm",rindless,pale yellow,"creamy, fruity, sweet, tangy","fresh, fruity, pleasant",True,False,,,Sartori
https://www.cheese.com/ms-natural/,,fresh soft,,,"creamy, crumbly, smooth, spreadable",rindless,white,"citrusy, creamy","fresh, mild",True,False,,,Cypress Grove Chevre
https://www.cheese.com/cacio-di-bosco-al-tartufo/,,"semi-firm, artisan",55%,,"crumbly, firm",,ivory,"nutty, sour, sweet",strong,,,,,Cooperativa Agricola IL FORTETO
https://www.cheese.com/liptauer/,,"fresh soft, artisan",,,,rindless,brown,"garlicky, savory, spicy, sweet","garlicky, spicy",True,False,,,Zingerman's Creamery
https://www.cheese.com/campi/,,"semi-hard, artisan",,,"elastic, firm",natural,ivory,"spicy, sweet",strong,False,False,,,Azienda Agricola Gritti Bruno E Alfio S.s. Societa Agricola
https://www.cheese.com/coeur-de-chevre/,,"soft, soft-ripened",,,creamy,leaf wrapped,pale yellow,"salty, spicy","fresh, milky",False,False,,,
https://www.cheese.com/moses-sleeper/,Brie,"semi-soft, artisan",,,"soft, soft-ripened",bloomy,white,"buttery, creamy, nutty","milky, mushroom",,,,,Jasper Hill Farm
https://www.cheese.com/maggies-round/,Tomme,"semi-hard, artisan",,,"firm, smooth",natural,blue-grey,"buttery, citrusy, nutty, sharp","earthy, fruity, herbal",True,False,,,Cricket Creek Farm
https://www.cheese.com/st-gall/,Swiss Cheese,"hard, brined",,,"creamy, smooth, soft, springy",natural,yellow,"fruity, mild, milky, nutty, smooth, yeasty","fruity, mild, milky, nutty, rich, yeasty",False,False,,,CAIS Cheesemakers Association Ltd
https://www.cheese.com/schloss/,,"semi-soft, brined",,,"chalky, creamy, smooth",washed,straw,"citrusy, earthy, fruity, full-flavored, meaty, pungent","pungent, strong",False,False,,,Marin French Cheeese Co.
https://www.cheese.com/boo-boo-baby-swiss/,Swiss Cheese,"hard, artisan",,,"crumbly, firm, open",natural,yellow,"nutty, sweet","milky, pleasant",False,False,,,Rockhill Creamery
https://www.cheese.com/caveman-blue/,Blue,"semi-hard, blue-veined",,,"creamy, dense",natural,pale yellow,"buttery, mushroomy",fresh,True,False,,,Rogue Creamery
https://www.cheese.com/austrian-alps/,,,,,smooth,,,"nutty, spicy","aromatic, nutty, spicy",False,False,,,
https://www.cheese.com/prastost/,Cheddar,semi-soft,45-50%,,creamy,,yellow,"salty, spicy, strong","aromatic, rich",False,False,"Priest Cheese, Saaland Pfarr, VODCheese",,
https://www.cheese.com/comte-12-months/,,semi-hard,,,buttery,washed,yellow,milky,nutty,False,False,Comté Grande Réserve 12-18 months,,JuraFlore
https://www.cheese.com/coastal-cheddar/,Cheddar,firm,,,,rindless,pale yellow,"crunchy, sweet",nutty,,,,,Ford Farm
https://www.cheese.com/marbled-cheeses/,,"hard, processed",,,firm,rindless,golden orange,"mild, smooth, sweet, tangy",,False,False,,"Marble Cheddar, Marbled Cheese",
https://www.cheese.com/lo-sburrato/,Pecorino,"semi-soft, artisan",,,"compact, creamy",natural,straw,"creamy, smooth, sweet",aromatic,,,,,Caseificio Pinzani Srl
https://www.cheese.com/milawa-brie/,Brie,"soft, soft-ripened",27%,,creamy,mold ripened,pale yellow,"buttery, milky",,,,,,Milawa Cheese Company
https://www.cheese.com/applewood/,Cheddar,semi-hard,,,"crumbly, dense",natural,yellow,"smokey , spicy",smokey,True,False,Applewood smoked cheddar,,Ilchester Cheese Company
https://www.cheese.com/crowley/,Cheddar,"semi-soft, hard, artisan",,,"creamy, crumbly, firm, smooth",cloth wrapped,pale yellow,"buttery, full-flavored, mild, savory, smokey , spicy, sweet, tangy","aromatic, fresh, mild, pleasant, smokey",False,False,,,Crowley Cheese
https://www.cheese.com/maytag-blue/,Blue,"semi-hard, blue-veined",,,"crumbly, dense",rindless,cream,"lemony, savory, tangy","pungent, strong",,,,,Maytag Dairy Farms
https://www.cheese.com/bijou/,,"semi-soft, artisan",11%,,"creamy, smooth",mold ripened,,"sharp, sweet, tangy, yeasty","fresh, yeasty",,,,,Vermont Creamery
https://www.cheese.com/sheep-gouda/,Gouda,"semi-hard, artisan",,,"compact, crumbly, dense",natural,pale yellow,"caramel, nutty",,,,,,Fuzzy Udder Creamery
https://www.cheese.com/cambozola-grand-noir/,Blue,"semi-soft, blue-veined",,,creamy,waxed,pale yellow,"sharp, sweet",aromatic,True,False,"Cambozola Black Label, Cambozola Classic, Cambozola Finesse, Cambozola Balance, Cambozola",,Käserei Champignon
https://www.cheese.com/somerset-organic-cheddar/,,"hard, organic",,,"creamy, crumbly",,pale yellow,,,,,Somerset Cheddar,,
https://www.cheese.com/melinda-mae/,Brie,"soft, artisan, soft-ripened",,,"creamy, fluffy, runny, smooth, soft",bloomy,ivory,"buttery, mild, piquant, pungent, savory, subtle, sweet","fruity, musty, yeasty",,,,,The Mystic Cheese Company
https://www.cheese.com/blue-rathgore/,Blue,"semi-soft, artisan",,,"creamy, crumbly",natural,ivory,"buttery, spicy",,True,False,,,
https://www.cheese.com/smokey-mountain-round/,,"semi-soft, artisan",,,compact,natural,white,"savory, woody","aromatic, lactic",True,False,,,Goat Lady Dairy
https://www.cheese.com/cheddar-ladida-lavender/,Cheddar,"semi-hard, artisan",,,"creamy, smooth",natural,white,"herbaceous, savory, subtle",earthy,True,False,,La Di Da Lavender,Rogue Creamery
https://www.cheese.com/perroche/,,"fresh soft, artisan",,,,,white,"lemony, mild","aromatic, fresh, herbal",True,False,,,Neal's Yard Creamery
https://www.cheese.com/ptit-berrichon/,,"soft, artisan",,,soft-ripened,leaf wrapped,white,sweet,goaty,False,False,,,
https://www.cheese.com/appenzeller/,,"hard, artisan",,,firm,washed,,"fruity, nutty",strong,,,,"Appenzeller Classic, Appenzeller Surchoix, Appenzeller Extra",
https://www.cheese.com/leerdammer/,Gouda,semi-hard,,,"creamy, open, smooth",natural,white,"mild, nutty, sweet",,True,False,,,
https://www.cheese.com/strawberry-moon/,,"semi-hard, artisan, smear-ripened",,,"compact, creamy, dense",washed,straw,"subtle, sweet",strong,,,,,Fifth Town Artisan Cheese
https://www.cheese.com/cure-nantais/,,"soft, artisan",40%,,"open, sticky, supple",,straw,"smokey , spicy",,False,False,Nantais,,Various
https://www.cheese.com/mouse-house-chilli-cheddar/,,semi-hard,,,creamy,waxed,golden orange,spicy,spicy,True,False,,,Lymn Bank Farm
https://www.cheese.com/curworthy/,,semi-hard,48%,,creamy,natural,cream,buttery,fresh,True,False,,,Rachel Stephens
https://www.cheese.com/civray/,,"soft, artisan",45%,,"creamy, firm",natural,pale yellow,"acidic, sweet",pleasant,False,False,,,
https://www.cheese.com/cup-cheese/,,"soft, artisan",,,"creamy, spreadable",,,"sharp, sour, strong",strong,,,,,
https://www.cheese.com/laura-chenel-taupiniere/,,"soft, artisan",,,"creamy, soft",ash coated,white,"creamy, tart","aromatic, fresh",,,,,Laura Chenel's Chevre
https://www.cheese.com/montgomerys-cheddar/,Cheddar,"hard, artisan",,,,natural,yellow,,rich,False,False,,,
https://www.cheese.com/boivin-extra-aged-cheddar/,Cheddar,hard,,,"firm, smooth",rindless,straw,"acidic, buttery",,,,,,La Fromagerie Boivin
https://www.cheese.com/morangie-brie/,Brie,"soft, artisan",,,"creamy, smooth",,cream,"creamy, smooth, sweet","mild, milky, sweet",,,Jezebel,,Highland Fine Cheeses Limited
https://www.cheese.com/san-andreas/,,"hard, artisan",,,"creamy, firm, open, smooth",natural,straw,"butterscotch, nutty, sweet","clean, mild, rich",True,False,,,Bellwether Farms
https://www.cheese.com/brillat-savarin/,,"soft, artisan",75%,,"creamy, dense",mold ripened,white,"buttery, nutty, sour",milky,False,False,,,
https://www.cheese.com/pecorino-barba-del-passatore/,Pecorino,"semi-soft, artisan",,,"buttery, smooth, soft",natural,white,"buttery, smooth","pronounced, strong",,,,,Romaniae Terrae
https://www.cheese.com/la-pyramide/,,"semi-soft, artisan",,,dense,ash coated,ivory,"salty, tangy",mild,False,False,,,The Farm House Natural Cheeses
https://www.cheese.com/pecorino-all-canapa/,Pecorino,"semi-soft, artisan",,,smooth,leaf wrapped,white,"herbaceous, smooth","aromatic, herbal",,,Pecorino Canapa,,
https://www.cheese.com/carrick/,,"hard, organic",,,creamy,edible,cream,citrusy,earthy,True,False,,,The Ethical Dairy
https://www.cheese.com/pembrokeshire-extra-mature-cheddar/,Cheddar,"semi-soft, artisan",,,"crumbly, dense",,yellow,"strong, tangy",rich,False,False,Extra Mature Welsh Cheddar,,Pembrokeshire Cheese Company
https://www.cheese.com/laveyronnais/,,soft,,,,leaf wrapped,white,,grassy,False,False,,,
https://www.cheese.com/peekskill-pyramid/,Brie,"soft, artisan",50%,,creamy,rindless,pale yellow,"buttery, sour, sweet",rich,False,False,,,Egg Farm Dairy
https://www.cheese.com/mature-wensleydale/,,"hard, artisan",48%,,crumbly,cloth wrapped,pale yellow,strong,"rich, ripe",False,False,,Ryp Wensleydale,Wensleydale Creamery
https://www.cheese.com/chile-jack/,Monterey Jack,"semi-soft, artisan",,,creamy,waxed,cream,"creamy, spicy, subtle, tangy",mild,True,False,,,Haystack Mountain Creamery
https://www.cheese.com/cwmtawe-pecorino/,Pecorino,hard,,,creamy,washed,orange,,aromatic,True,False,,,Irranca Giovanni Antonio
https://www.cheese.com/blue-benedictine/,,"semi-soft, blue-veined, soft-ripened",,,"buttery, creamy, crumbly, smooth",natural,brownish yellow,"buttery, creamy, earthy, grassy, herbaceous, mushroomy, salty, smooth, sweet","buttery, earthy, grassy, herbal, mushroom, sweet",,,,,"Benedictine Abbey of Saint-Benoît-du-Lac, Quebec."
https://www.cheese.com/bergues/,,semi-hard,15-25%,,smooth,washed,,"subtle, sweet",aromatic,False,False,,,
https://www.cheese.com/prima-donna-fino/,Parmesan,hard,30.5 g/100g,921 mg/100g,"crumbly, crystalline, firm",natural,pale yellow,"full-flavored, nutty, sweet",rich,,,,,Vandersterre Groep International B.V.
https://www.cheese.com/ardsallagh-hard-goats-cheese/,,"semi-hard, artisan",,,"firm, smooth",natural,white,"nutty, salty, smooth",,True,False,,,Ardsallagh Goats Farm
https://www.cheese.com/latteria-san-biagio/,,"soft, artisan",,,creamy,natural,white,"acidic, sweet",subtle,False,False,,,La Casearia Carpenedo S.r.l.
https://www.cheese.com/pimento/,,"soft, artisan",,,"creamy, crumbly",rindless,brown,spicy,,False,False,,,Zingerman's Creamery
https://www.cheese.com/malvarosa/,,"semi-firm, artisan",,,"firm, smooth",natural,straw,"buttery, sweet","fresh, rich",False,False,Malvarosa,,
https://www.cheese.com/broncha/,,"semi-hard, artisan",,,creamy,mold ripened,straw,"creamy, mild",,False,False,,,Achadinha Cheese Company
https://www.cheese.com/meredith-chevre-plain/,,"fresh soft, artisan",,,"creamy, soft",rindless,white,"acidic, smooth","clean, fresh",True,False,,,Meredith Dairy
https://www.cheese.com/cooleney/,Camembert,"soft, artisan",45%,,"creamy, smooth",mold ripened,white,"bitter, buttery, mushroomy",,True,False,,Cooleeney Farmhouse Cheese,Cooleeney Farm
https://www.cheese.com/appalachian/,Tomme,"semi-soft, artisan",,,firm,mold ripened,white,"buttery, lemony, mushroomy","earthy, grassy, lactic",,,,,Meadow Creek Dairy
https://www.cheese.com/moonglo/,,"semi-hard, artisan",,,"dense, firm, open",washed,ivory,"caramel, citrusy, fruity, nutty, sharp, tangy","aromatic, goaty",False,False,,,Prairie Fruits Farm
https://www.cheese.com/saint-agur/,Blue,"soft, blue-veined",60%,,"creamy, smooth, spreadable",,blue,"fruity, mellow, sharp",strong,False,False,,"Saint Agur Coupe, Saint Agur Crème",Savencia Fromage & Dairy
https://www.cheese.com/st-fidele-swiss/,Swiss Cheese,semi-hard,17%,,"elastic, firm, open",rindless,ivory,"nutty, sweet","aromatic, sweet",,,La Belle Brune,"St-Fidele Swiss, Suisse St-Fidèle, Saint Fidele Swiss",Fromagerie St-Fidèle
https://www.cheese.com/afuegal-pitu/,,"soft, artisan",,,smooth,cloth wrapped,,"spicy, strong",,False,False,,,
https://www.cheese.com/pyramide/,,"soft, artisan",,,crumbly,natural,ivory,,pungent,False,False,,,
https://www.cheese.com/pecorino-con-caglio-vegetale/,Pecorino,"semi-hard, artisan",,,"compact, creamy",natural,white,"bitter, subtle, vegetal","earthy, pleasant",True,False,,,Caseificio Pinzani Srl
https://www.cheese.com/molbo/,Cheddar,"semi-hard, artisan",,,firm,waxed,pale yellow,"salty, tangy",fresh,False,False,,,
https://www.cheese.com/le-lacandou/,,"soft, artisan",45%,,creamy,natural,pale yellow,fruity,grassy,False,False,,,
https://www.cheese.com/abbaye-de-belval/,,semi-hard,40-46%,,elastic,washed,ivory,,aromatic,False,False,,,
https://www.cheese.com/stoney-cross/,Tomme,"semi-hard, artisan",,,"creamy, smooth",mold ripened,yellow,"earthy, subtle, sweet",,True,False,,,Lyburn Farm
https://www.cheese.com/majorero/,,semi-hard,,,"buttery, creamy",natural,pale white,acidic,"milky, nutty",False,False,"Queso Majorero, Queso Fuerteventura, Majorero PDO, Majorero DOP",,
https://www.cheese.com/pecorino-al-tartufo/,Pecorino,"hard, artisan",,,firm,,cream,"sharp, spicy","grassy, nutty",,,Truffle Pecorino,,
https://www.cheese.com/pecorino-fiordaliso/,Pecorino,"semi-hard, artisan",,,compact,natural,ivory,"smooth, subtle","aromatic, floral, pronounced",,,,,Romaniae Terrae
https://www.cheese.com/shelburne-cheddar/,Cheddar,"hard, artisan",51%,,firm,rindless,pale yellow,strong,rich,True,False,,,Shelburne Farms
https://www.cheese.com/manur/,,"hard, artisan",40%,,creamy,natural,,salty,,False,False,,,
https://www.cheese.com/canastra-cheese/,,artisan,,,,,yellow,spicy,aromatic,,,Queijo Canastra,,
https://www.cheese.com/cave-aged-marisa/,,"semi-hard, artisan",,,firm,natural,pale yellow,"sweet, tangy",sweet,,,,,Carr Valley Cheese Company
https://www.cheese.com/colby/,Cheddar,semi-hard,,,"firm, open, springy",rindless,yellow,sweet,"mild, sweet",False,False,,Colby Swiss Cheddar,
https://www.cheese.com/mirabo-brie-with-walnut/,Brie,"semi-soft, soft-ripened",,,"creamy, smooth, soft",natural,ivory,"nutty, savory",nutty,,,"Mirabo Walnut, Mirabo Brie Walnut",,Käserei Champignon
https://www.cheese.com/president-camembert/,Camembert,"semi-soft, soft-ripened",,,"creamy, firm, soft",bloomy,cream,"creamy, earthy",rich,,,,,President Cheese
https://www.cheese.com/bianco/,,semi-hard,32.5 g/100g,725 mg/100g,"creamy, open, soft",natural,pale yellow,"buttery, garlicky, mild",,False,False,,"Bianco Garlic, Bianco Original",Bergader Privatkäserei GmbH
https://www.cheese.com/croghan/,,"semi-soft, artisan",,,supple,washed,white,full-flavored,"earthy, grassy",True,False,,,Croghan Goat Farm
https://www.cheese.com/alma-vorarlberger-bergkase-6-months/,,"hard, artisan",34%,,"firm, open, supple",natural,cream,"piquant, spicy, tangy",aromatic,False,False,Rupp Vorarlberger Bergkäse,Vorarlberger Bergkase 6 months,Rupp AG
https://www.cheese.com/sparkenhoe-red-leicester/,,hard,,,"brittle, close, creamy, crumbly, flaky",,orange,nutty,,,,,,
https://www.cheese.com/lindy-hop/,Blue,"semi-soft, blue-veined",,,creamy,natural,straw,"creamy, grassy, mild","rich, strong",False,False,,,Dancing Cow Farm
https://www.cheese.com/milawa-goats-tomme/,Tomme,semi-hard,,,"creamy, crumbly, dense",natural,yellow,"savory, spicy",earthy,True,False,,,Milawa Cheese Company
https://www.cheese.com/laclare-farms-fondry-jack/,Monterey Jack,"fresh soft, artisan",,,creamy,natural,ivory,mild,fresh,,,,"Pepper Jack Fondy Jack, Tomato Basil Fondy Jack",LaClare Farms
https://www.cheese.com/chura-kampo/,,"hard, artisan",,,"dense, dry, firm",natural,,,aromatic,,,"chura loenpa , ser",,
